animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,17,1767566493.969,1767566563.693,712133,724682,12550
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,18,1767566610.63,1767566623.435,733132,735436,2305
wilfred,2026_01_05_14_49_57,session_2026-01-05_14-46-42,0,1767642687.204,1767644070.005,13755,262655,248901
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,0,1767644485.113,1767644560.011,11072,24553,13482
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,1,1767644607.003,1767644620.108,33012,35370,2359
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,2,1767644664.938,1767644693.736,43440,48623,5184
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,3,1767644746.833,1767644762.969,58181,61085,2905
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,4,1767644815.612,1767645102.718,70561,122239,51679
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,5,1767645156.553,1767645187.324,131930,137468,5539
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,6,1767645239.873,1767645262.904,146927,151072,4146
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,7,1767645316.167,1767645373.72,160660,171018,10359
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,8,1767645422.246,1767645447.332,179754,184268,4515
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,9,1767645498.443,1767645565.155,193469,205476,12008
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,10,1767645619.364,1767645633.6,215235,217796,2562
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,11,1767645681.295,1767645692.171,226382,228339,1958
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,12,1767645737.793,1767646029.821,236552,289116,52565
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,13,1767646082.244,1767646097.789,298553,301350,2798
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,14,1767646153.055,1767646167.305,311298,313862,2565
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,15,1767646214.352,1767646264.836,322332,331418,9087
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,16,1767646309.917,1767646333.33,339533,343747,4215
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,17,1767646386.08,1767646513.537,353243,376184,22942
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,18,1767646559.723,1767646585.779,384498,389187,4690
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,19,1767646637.43,1767646651.716,398485,401055,2571
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,20,1767646705.243,1767647095.554,410691,480946,70256
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,21,1767647148.421,1767647180.276,490463,496195,5733
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,22,1767647226.55,1767647398.586,504526,535491,30966
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,23,1767647450.496,1767647466.605,544835,547734,2900
wilfred,2026_01_05_15_20_13,session_2026-01-05_15-19-20,24,1767647521.918,1767647555.236,557691,563687,5997
wilfred,2026_01_07_16_26_56,session_2026-01-07_16-23-20,0,1767821351.981,1767821401.198,12126,20984,8859
wilfred,2026_01_07_16_26_56,session_2026-01-07_16-23-20,1,1767821473.416,1767821492.446,33984,37409,3426
wilfred,2026_01_07_16_26_56,session_2026-01-07_16-23-20,2,1767821540.294,1767821554.199,46022,48524,2503
wilfred,2026_01_07_16_26_56,session_2026-01-07_16-23-20,3,1767821605.699,1767821738.679,57795,81730,23936
wilfred,2026_01_07_16_26_56,session_2026-01-07_16-23-20,4,1767821792.442,1767821807.019,91409,94031,2623
wilfred,2026_01_07_16_26_56,session_2026-01-07_16-23-20,5,1767821861.984,1767821874.503,103926,106178,2253
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,0,1767904608.211,1767904698.329,13298,29518,16221
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,1,1767904745.939,1767904788.47,38089,45744,7656
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,2,1767904840.809,1767904852.199,55166,57215,2050
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,3,1767904900.868,1767904928.492,65976,70947,4972
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,4,1767904980.177,1767904991.332,80252,82258,2007
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,5,1767905044.81,1767905062.004,91885,94979,3095
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,6,1767905108.916,1767905119.35,103424,105301,1878
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,7,1767905164.343,1767905186.429,113401,117376,3976
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,8,1767905231.28,1767905247.282,125450,128329,2880
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,9,1767905292.619,1767905308.352,136491,139321,2831
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,10,1767905360.424,1767905371.352,148695,150661,1967
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,11,1767905418.131,1767905425.358,159082,160382,1301
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,12,1767905478.16,1767905493.683,169888,172681,2794
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,13,1767905551.987,1767905573.693,183176,187082,3907
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,14,1767905627.611,1767905635.15,196788,198145,1358
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,15,1767905695.948,1767905716.328,209089,212756,3668
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,16,1767905778.181,1767905794.839,223891,226888,2998
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,17,1767905846.238,1767905866.853,236141,239851,3711
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,18,1767905925.978,1767905940.993,250494,253196,2703
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,19,1767906000.862,1767906011.471,263973,265882,1910
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,20,1767906058.133,1767906067.244,274282,275921,1640
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,21,1767906118.908,1767906135.527,285221,288211,2991
wilfred,2026_01_08_15_35_17,session_2026-01-08_15-30-23,22,1767906187.754,1767906199.189,297613,299670,2058
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,0,1767906405.268,1767906417.175,11903,14046,2144
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,1,1767906470.052,1767906481.107,23564,25553,1990
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,2,1767906535.733,1767906546.092,35387,37250,1864
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,3,1767906594.482,1767906607.589,45962,48320,2359
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,4,1767906652.935,1767906663.78,56483,58434,1952
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,5,1767906715.555,1767906725.168,67754,69484,1731
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,6,1767906771.704,1767906778.439,77861,79072,1212
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,7,1767906830.391,1767906842.712,88425,90641,2217
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,8,1767906896.59,1767906906.307,100340,102088,1749
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,9,1767906956.624,1767906964.091,111146,112489,1344
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,10,1767907015.729,1767907025.729,121785,123584,1800
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,11,1767907074.923,1767907087.166,132440,134643,2204
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,12,1767907139.273,1767907147.737,144023,145545,1523
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,13,1767907193.377,1767907206.114,153762,156053,2292
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,14,1767907258.722,1767907315.462,165523,175736,10214
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,15,1767907362.291,1767907385.089,184166,188268,4103
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,16,1767907430.211,1767907438.768,196391,197930,1540
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,17,1767907483.448,1767907492.527,205974,207607,1634
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,18,1767907538.313,1767907549.037,215849,217779,1931
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,19,1767907602.106,1767907615.042,227332,229659,2328
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,20,1767907669.985,1767907694.154,239550,243899,4350
wilfred,2026_01_08_16_05_24,session_2026-01-08_16-04-53,21,1767907748.616,1767907761.1,253704,255950,2247
