animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,9,1767214915.92,1767214927.627,151840,153946,2107
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,10,1767214981.946,1767214996.766,163725,166391,2667
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,11,1767215050.099,1767215065.293,175992,178726,2735
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,12,1767215113.814,1767215121.712,187461,188881,1421
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,13,1767215174.999,1767215200.09,198474,202989,4516
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,14,1767215252.367,1767215261.574,212400,214056,1657
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,15,1767215308.102,1767215344.886,222432,229052,6621
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,16,1767215395.602,1767215405.526,238182,239968,1787
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,17,1767215452.033,1767215495.742,248340,256206,7867
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,18,1767215540.529,1767215561.494,264269,268041,3773
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,19,1767215605.918,1767215613.978,276039,277489,1451
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,20,1767215666.402,1767215681.517,286926,289645,2720
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,21,1767215727.628,1767215884.074,297946,326105,28160
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,22,1767215934.895,1767215951.143,335254,338178,2925
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,23,1767215997.757,1767216029.273,346569,352241,5673
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,24,1767216080.455,1767216107.11,361455,366251,4797
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,25,1767216153.954,1767216166.434,374684,376930,2247
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,26,1767216217.356,1767216256.751,386096,393186,7091
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,27,1767216309.976,1767216327.7,402768,405957,3190
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,28,1767216381.418,1767216495.967,415627,436245,20619
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,29,1767216548.352,1767216572.163,445675,449960,4286
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,30,1767216625.906,1767216634.354,459635,461154,1520
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,31,1767216681.634,1767216733.794,469666,479053,9388
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,32,1767216778.346,1767216817.423,487074,494106,7033
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,33,1767216869.113,1767216900.03,503411,508976,5566
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,34,1767216945.692,1767217030.602,517196,532478,15283
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,35,1767217080.973,1767217221.538,541546,566846,25301
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,0,1767303029.217,1767303098.488,16503,28970,12468
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,1,1767303150.55,1767303177.372,38343,43169,4827
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,2,1767303230.346,1767303243.818,52706,55130,2425
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,3,1767303295.154,1767303305.775,64371,66282,1912
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,4,1767303353.066,1767303394.378,74795,82230,7436
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,5,1767303438.505,1767303476.447,90174,97003,6830
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,6,1767303527.144,1767303546.981,106129,109699,3571
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,7,1767303592.117,1767303623.776,117824,123522,5699
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,8,1767303674.809,1767303685.35,132708,134605,1898
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,9,1767303730.326,1767303752.306,142701,146657,3957
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,10,1767303796.39,1767303818.194,154593,158516,3924
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,11,1767303862.374,1767303890.967,166470,171615,5146
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,12,1767303935.141,1767303948.445,179568,181961,2394
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,13,1767303992.134,1767304027.714,189826,196230,6405
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,14,1767304078.901,1767304091.631,205444,207735,2292
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,15,1767304144.598,1767304162.264,217270,220448,3179
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,16,1767304216.063,1767304247.865,230133,235856,5724
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,17,1767304293.153,1767304342.837,244009,252951,8943
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,18,1767304393.469,1767304409.055,262066,264870,2805
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,19,1767304454.306,1767304539.485,273016,288347,15332
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,20,1767304591.968,1767304612.157,297795,301428,3634
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,21,1767304665.632,1767304686.308,311055,314775,3721
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,22,1767304731.228,1767304748.698,322862,326005,3144
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,23,1767304806.859,1767304826.092,336475,339936,3462
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,24,1767304877.553,1767304885.41,349200,350613,1414
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,25,1767304944.945,1767304973.312,361331,366436,5106
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,26,1767305024.84,1767305254.326,375711,417018,41308
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,27,1767305309.001,1767305318.342,426860,428540,1681
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,28,1767305370.231,1767305385.144,437881,440565,2685
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,29,1767305436.327,1767305459.962,449778,454032,4255
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,30,1767305506.41,1767305519.536,462393,464755,2363
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,31,1767305570.32,1767305588.645,473897,477194,3298
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,32,1767305633.952,1767305647.246,485351,487742,2392
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,33,1767305697.296,1767305759.442,496752,507938,11187
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,34,1767305805.752,1767305820.248,516274,518882,2609
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,35,1767305877.708,1767305904.303,529226,534012,4787
rory,2026_01_01_16_28_43,session_2026-01-01_16-25-55,36,1767305956.812,1767305970.913,543465,546002,2538
rory,2026_01_02_14_31_43,session_2026-01-02_14-28-21,0,1767382389.074,1767382467.718,13043,27197,14155
rory,2026_01_02_14_31_43,session_2026-01-02_14-28-21,1,1767382523.982,1767382556.769,37326,43226,5901
rory,2026_01_02_14_31_43,session_2026-01-02_14-28-21,2,1767382609.523,1767382635.042,52723,57315,4593
rory,2026_01_02_14_31_43,session_2026-01-02_14-28-21,3,1767382687.503,1767382698.305,66759,68703,1945
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,0,1767384170.135,1767384195.029,11571,16051,4481
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,1,1767384242.246,1767384269.011,24551,29368,4818
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,2,1767384325.276,1767384344.766,39496,43003,3508
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,3,1767384400.108,1767384411.817,52966,55072,2107
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,4,1767384457.382,1767384476.656,63275,66743,3469
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,5,1767384528.11,1767384545.007,76006,79046,3041
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,6,1767384598.232,1767384606.983,88628,90202,1575
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,7,1767384658.082,1767384667.807,99401,101150,1750
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,8,1767384720.061,1767384736.541,110557,113522,2966
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,9,1767384800.272,1767384820.306,124995,128600,3606
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,10,1767384872.686,1767384902.374,138029,143372,5344
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,11,1767384957.21,1767384992.888,153243,159664,6422
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,12,1767385045.312,1767385109.45,169102,180645,11544
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,13,1767385164.194,1767385172.848,190500,192057,1558
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,14,1767385220.627,1767385247.967,200658,205578,4921
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,15,1767385292.705,1767385304.83,213632,215813,2182
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,16,1767385356.086,1767385376.433,225040,228702,3663
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,17,1767385420.817,1767385443.45,236692,240765,4074
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,18,1767385488.73,1767385504.958,248916,251836,2921
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,19,1767385564.94,1767385602.662,262633,269422,6790
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,20,1767385647.367,1767385719.52,277470,290457,12988
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,21,1767385771.36,1767385807.515,299789,306295,6507
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,22,1767385855.411,1767385873.116,314918,318104,3187
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,23,1767385926.105,1767385948.138,327642,331607,3966
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,24,1767386000.765,1767386077.729,341081,354934,13854
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,25,1767386127.127,1767386216.953,363826,379994,16169
rory,2026_01_02_15_01_34,session_2026-01-02_14-58-59,26,1767386269.279,1767386286.473,389413,392507,3095
